first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Christopher Jones,Jeffery Ibarra,jeffrey31@example.com,128,9,97.88,2018-08-01,1382 Simmons Station,Robinton,96009727,"Physicist, medical"
Donald Munoz,Steven Rojas,bestronald@example.com,165,5,98.55,1974-12-01,12199 Dennis Springs,Wilkersonland,24333146,"Sound technician, broadcasting/film/video"
Nathan Carter,Frank Castro,gjackson@example.com,194,8,96.05,1977-07-06,003 Christina Mountain,Adamshaven,66259350,Oceanographer
Justin Buckley,Ricky Powell,gina57@example.org,120,5,96.04,1972-07-05,2504 Debra Road,Taylorland,657204,"Nurse, learning disability"
Megan Graves,Deanna Miller,vwashington@example.com,170,5,96.46,1989-01-11,66366 Cassandra Corners,Chadbury,29725489,Music therapist
Pamela Hughes,Christopher Molina,kenneth14@example.org,189,5,97.42,1975-05-10,7363 Munoz Park Apt. 211,Port Miranda,66168010,Recruitment consultant
Shannon Kelly MD,Jennifer Ramirez,kimberlyjohnson@example.org,138,5,99.45,2018-07-04,1081 Parker Mall Suite 345,East Timothy,34126356,Systems developer
Jordan Ramos,Jessica Robles,rayraymond@example.org,143,2,98.5,1981-04-04,2181 Larson View Suite 541,Ryanville,59310341,"Buyer, retail"
Megan Duncan,Keith Casey,corey98@example.net,175,9,96.23,1975-09-05,8734 Fields Point Apt. 652,North Corey,81835874,"Surveyor, quantity"
Jennifer Greene,Robin Davis,jasonyoung@example.org,197,3,96.62,2000-09-12,650 Chen Branch,South Daniel,10667118,Clinical molecular geneticist
